property_name,reviewer,date,stars,heading,review
Greenfield City,Guest User,21/08/2020,5,Greenfield City,"Greenfield City is an unmatched Residential property located in Behala, Kolkata. The project offers plenty of benefits that includes prime location. Greenfield City is spread over an area of 45.00 acres with 11 floors. The amenities offered in Greenfield City are Landscaped Garden, Indoor Games, CCT... Read More"
Greenfield City,Dr S Khan,28/02/2015,4,Behala Chowrasta.,?
HIJIBIJI,Soumen,10/07/2014,5,Rajarhat.,?
Devaloke De Casa,Guest User,01/11/2020,4,Good project.,"This is a residential housing project located in South Kolkata, at Narendrapur. The apartment is very spacious and, the size starts from 862.0 sq ft. Devaloke de casa is near many reputed Schools and Hospitals."
Devaloke De Casa,Guest User,01/11/2020,4,Good project.,"The project is located in Narendrapur, Kolkata. The project offers many amenities such as a Landscaped garden, Power backup, Cycling, Jogging track, Gymnasium, Swimming pool, etc."
Devaloke De Casa,Guest User,01/11/2020,4,Good project.,"This is a residential housing project located in South Kolkata, at Narendrapur. The apartment is very spacious and, the size starts from 862.0 sq ft. Devaloke de casa is near many reputed Schools and Hospitals."
Devaloke De Casa,Guest User,01/11/2020,4,Good project.,"The project is located in Narendrapur, Kolkata. The project offers many amenities such as a Landscaped garden, Power backup, Cycling, Jogging track, Gymnasium, Swimming pool, etc."
Devaloke De Casa,Guest User,23/08/2020,5,Great choice to buy,"Devaloke DeCasa situated in Narendrapur, Kolkata South by Devaloke Builders is a residential project. Price starting from Rs. 56.00 Lacs. All modern amenities are there in this project like swimming pool, Garden, community hall, library, Indore games. Also, a grocery shop is available in this projec... Read More"
Devaloke De Casa,Gosh,30/05/2014,5,Sonarpur.,?
Eden Richmond Park,Guest User,22/08/2020,4,Eden Richmond Park.,"Eden Richmond Park by Eden Group at Sonarpur, Kolkata South. Richmond Park by Eden Group is conveniently located and provides for spacious residential houses in Sonarpur, Kolkata South. The neighborhood for Richmond Park provides the convenience of gymnasium, swimming pool, children's play area, int... Read More"
Eden Richmond Park,Vijay,12/07/2020,5,Eden Richmond Park_Narendrapur,"Eden Richmond Park by Eden Group at Sonarpur , Kolkata South. Richmond Park by Eden Group is conveniently located and provides for spacious residential houses in Sonarpur , Kolkata South.The neighbourhood for Richmond Park provides the convenience of Gymnasium, Swimming Pool, Children's play area, I... Read More"
Eden Richmond Park,Guest User,22/08/2020,4,Eden Richmond Park.,"Eden Richmond Park by Eden Group at Sonarpur, Kolkata South. Richmond Park by Eden Group is conveniently located and provides for spacious residential houses in Sonarpur, Kolkata South. The neighborhood for Richmond Park provides the convenience of gymnasium, swimming pool, children's play area, int... Read More"
Eden Richmond Park,Vijay,12/07/2020,5,Eden Richmond Park_Narendrapur,"Eden Richmond Park by Eden Group at Sonarpur , Kolkata South. Richmond Park by Eden Group is conveniently located and provides for spacious residential houses in Sonarpur , Kolkata South.The neighbourhood for Richmond Park provides the convenience of Gymnasium, Swimming Pool, Children's play area, I... Read More"
Eden Richmond Park,Sudhanshu,05/11/2012,0,Review Of Narendra Pur,?
Hiland Greens,GHOSH,03/06/2014,3,Maheshtala.,?
Poddar Vihar,Manoj,27/07/2014,5,VIP Road.,?
Sanhita Township Project,Guest User,03/06/2021,5,Good project.,"Good Project, near shops, medical shop, hospital, schools easily Available And good construction quality. Good Amenities available."
Sanhita Township Project,Guest User,02/06/2021,3,Nice project.,The project is under construction. It is a well-planned project. It is very far from the city. Project amenities are best. The greenery around the project is beautiful. It is a beautiful place for living with family.
Sanhita Township Project,Guest User,03/06/2021,5,Good project.,"Good Project, near shops, medical shop, hospital, schools easily Available And good construction quality. Good Amenities available."
Sanhita Township Project,Guest User,02/06/2021,3,Nice project.,The project is under construction. It is a well-planned project. It is very far from the city. Project amenities are best. The greenery around the project is beautiful. It is a beautiful place for living with family.
Sanhita Township Project,Guest User,02/06/2021,5,Nice project.,It is a highly attractive apartment with all amenities are available here. It is an amazing township. The nearest bus stop is available here.
Sanhita Township Project,Guest User,19/12/2020,4,Best project,"the project is in Prime location , Good high rise towers, positive is location, brand name, good repo to complete the project on time. All Amenity available in this Project."
Sanhita Township Project,Guest User,12/11/2020,3,Nice project.,"The project is very nice with a good green area, parking facilities are good, however roads are not good, and the project is very far from the main area."
Sanhita Township Project,Gaurav Gupta,10/11/2020,3,Nice project.,"It is a very good project. It is a little bit away from the main city. The project has a good green area and a peaceful environment, however, customer service and sales response are not good here."
Sanhita Township Project,Shek,06/12/2014,1,Rajarhat.,?
Hiland Greens,GHOSH,03/06/2014,3,Maheshtala.,?
Bidhan Park,Guest User,19/08/2020,5,Beautiful Project,"Bidhan park is a residential project in BT road. It is a g4 building. Available amenities like Reserved parking, visitors parking, security, maintenance staff, DTH television facility, waste disposal, fire fighting equipment and etc.Hospital, school, bank, atm, restaurants, college, shop, ma... Read More"
Bidhan Park,Guest User,19/08/2020,5,Beautiful Project,"Bidhan park is a residential project in BT road. It is a g4 building. Available amenities like Reserved parking, visitors parking, security, maintenance staff, DTH television facility, waste disposal, fire fighting equipment and etc.Hospital, school, bank, atm, restaurants, college, shop, ma... Read More"
Bidhan Park,Rajeev,10/06/2013,4,Very good locality.,?
Rashlaxhmi Abasan,Avirupa ,19/01/2014,4,Behala.,?
NBCC Vibgyor Towers,Sanjoy,25/03/2016,5,Rajarhat.,?
Baalajee Ganges,Bhuvnesh ,06/04/2016,5,Ultadanga.,?
SGIL Gardenia,Guest User,10/12/2020,4,Good Project.,Very beautiful place and a good society to stay with the family. A very peaceful environment too. A very calm and sophisticated society to live in. It is well maintained.
SGIL Gardenia,Pritam,12/07/2020,5,SGIL Gardenia_Narendrapur,"SGIL Gardenia by SGIL is located in Rajpur, Sonarpur Kolkata. All amenities like Multipurpose Room, Car Parking, Sports Facility, Intercom, Swimming Pool, 24 X 7 Security are available here."
SGIL Gardenia,Guest User,10/12/2020,4,Good Project.,Very beautiful place and a good society to stay with the family. A very peaceful environment too. A very calm and sophisticated society to live in. It is well maintained.
SGIL Gardenia,Pritam,12/07/2020,5,SGIL Gardenia_Narendrapur,"SGIL Gardenia by SGIL is located in Rajpur, Sonarpur Kolkata. All amenities like Multipurpose Room, Car Parking, Sports Facility, Intercom, Swimming Pool, 24 X 7 Security are available here."
SGIL Gardenia,Sudhanshu,05/11/2012,0,Review Of Narendra Pur,?
Meena Residency,Guest User,20/08/2020,0,Good society,"Meena Residency is a very well designed Residential project located in Teghoria Kolkata, Developed By GM Group. This project is well connected through all the common Transport."
Meena Residency,Guest User,16/08/2020,4,Good Project.,Green Residency is a residential project.  Which is developed by lohuruka group. This project located in Kaukhali Kolkata. This apartment offers comfort living and contemporary architecture.
Meena Residency,Guest User,20/08/2020,0,Good society,"Meena Residency is a very well designed Residential project located in Teghoria Kolkata, Developed By GM Group. This project is well connected through all the common Transport."
Meena Residency,Guest User,16/08/2020,4,Good Project.,Green Residency is a residential project.  Which is developed by lohuruka group. This project located in Kaukhali Kolkata. This apartment offers comfort living and contemporary architecture.
Meena Residency,Biduth ,24/05/2014,3,Teghoria.,?
Alaktika Complex,Guest User,03/12/2020,4,Nice project.,"A very good place to live in the city, lots of open and green spaces available in this project. The airport is within 10 kilometers of the project with very good parking and good security."
Alaktika Complex,Guest User,03/12/2020,4,Nice project.,The project is located in New Town Ambience of this project is very well. The project is easily accessible from different parts of the city. All facilities are available and nearby this project. All over the great place to live close to every need.
Alaktika Complex,Guest User,03/12/2020,4,Nice project.,"A very good place to live in the city, lots of open and green spaces available in this project. The airport is within 10 kilometers of the project with very good parking and good security."
Alaktika Complex,Guest User,03/12/2020,4,Nice project.,The project is located in New Town Ambience of this project is very well. The project is easily accessible from different parts of the city. All facilities are available and nearby this project. All over the great place to live close to every need.
Alaktika Complex,Guest User,20/08/2020,4,Good project,"Alaktika complex in New Town, Kolkata by Bengal Peerless Builders is a residential project. The Apartment is of the following configurations  1bhk, 2bhk, 3bhk and 4bhk. Amenities available like Landscaped Garden, Swimming Pool, Gymnasium, Play Area, Intercom, Club House, Library, Badminton Court, Ga... Read More"
Alaktika Complex,Viswanatha Raju,12/07/2020,4,Alaktika Complex,"Alaktika complex in New Town, Kolkata by Bengal Peerless Builders is a residential project. The Apartment are of the following configurations: 1bhk, 2bhk, 3bhk and 4bhk. Amenities available like Landscaped Garden, Swimming Pool, Gymnasium, Play Area, Intercom, Club House, Library, Badminton Court, G... Read More"
Alaktika Complex,M Bhadra,06/08/2016,4,New Town.,?
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,05/10/2020,2,Nice project.,COVID 19 may have spared you but there is no guarantee that DENGUE will not break out in this complex. Water bodies that they showcased at the time of purchase is now a breeding ground for mosquitoes and the water stinks. Some say it is infested with snakes and scorpions. Maintenance charges are hig... Read More
Eden City Maheshtala,Guest User,21/08/2020,4,Eden City Maheshtala,Eden City is one of the largest contemporary world class housing projects in Kolkata. This is the first of its kind as the same was conceived on the primary vision and philosophy of giving all modern lifestyle amenities and facilities at a much lesser cost.
Eden City Maheshtala,Kanak ,08/09/2013,4,Good locality. ,?
Star Green Tower,farooque,19/08/2020,3,Good Project.,"Well located residential project star green tower on Belgharia Expressway. It is close to airport and near to Dunlop. It has amenities  like, gymnasium, power backup, kids play area, swimming pool are available here."
Star Green Tower,farooque,19/08/2020,3,Good Project.,"Well located residential project star green tower on Belgharia Expressway. It is close to airport and near to Dunlop. It has amenities  like, gymnasium, power backup, kids play area, swimming pool are available here."
Star Green Tower,Kalyan Saha,16/09/2017,5,Belgharia Expressway.,?
Ozone,Guest User,23/08/2020,1,The Project is awsome.,"Ozone in E M Bypass, Kolkata South by PS Group and Srijan Realty is a residential project. Ozone offers facilities such as Gymnasium and Lift. It also has amenities like Badminton court, Basketball court, Jogging Track, and Swimming pool. The project has indoor activities such as the Dartboard and P... Read More"
Ozone,Guest User,23/08/2020,1,The Project is awsome.,"Ozone in E M Bypass, Kolkata South by PS Group and Srijan Realty is a residential project. Ozone offers facilities such as Gymnasium and Lift. It also has amenities like Badminton court, Basketball court, Jogging Track, and Swimming pool. The project has indoor activities such as the Dartboard and P... Read More"
Ozone,Sourabh,07/11/2013,4,E M Bypass.,?
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,27/12/2020,4,Nice project.,"This project is developed by the South City Group and this project has many size options are available in 2, 3, and 4 BHK apartment and a total of 5 Block and project has good amenities include in the project."
South City,Guest User,27/12/2020,4,Good Project,South City  is good Project. Nice location. Well maintained project. Good amenities available
South City,Guest User,19/12/2020,4,Best project,"The project offers apartments with perfect contemporary architecture and features to provide a comfortable living. It also has amenities like a Jogging Track, Lawn tennis court and Swimming pool ensuring the health and recreational needs."
South City,Guest User,17/12/2020,5,It is a very well known project,"A very well maintained and well located project.All world class amenties are available here. Available amenities like swimming pool, powerbackup,  clubhouse, lift and more. Rabindra sarovar metro station is very Nearby."
South City,Guest User,08/08/2020,5,South City.,South City is located in prince Anwar Shah road Kolkata. South City project is the best residential and commercial project in Kolkata. School and car parking for more than 1400 cars. South City symbolizes the changing perceptions of the way people have traditionally lived in Kolkata.
South City,Deb ,22/09/2013,4,Review of Prince Anwar Shah Road.,?
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,03/06/2021,4,Good project.,"It is good to project. Indore and outdoor, swimming pool, the garden also facilities available in the project. Good security and good amenities available."
South City,Guest User,31/05/2021,5,Nice project.,It is a very good place for leaving and all amenities are available here. This place is very crowded. Most attractive place in Kolkata.
South City,Guest User,27/12/2020,4,Nice project.,"This project is developed by the South City Group and this project has many size options are available in 2, 3, and 4 BHK apartment and a total of 5 Block and project has good amenities include in the project."
South City,Guest User,27/12/2020,4,Good Project,South City  is good Project. Nice location. Well maintained project. Good amenities available
South City,Guest User,19/12/2020,4,Best project,"The project offers apartments with perfect contemporary architecture and features to provide a comfortable living. It also has amenities like a Jogging Track, Lawn tennis court and Swimming pool ensuring the health and recreational needs."
South City,Guest User,17/12/2020,5,It is a very well known project,"A very well maintained and well located project.All world class amenties are available here. Available amenities like swimming pool, powerbackup,  clubhouse, lift and more. Rabindra sarovar metro station is very Nearby."
South City,Guest User,08/08/2020,5,South City.,South City is located in prince Anwar Shah road Kolkata. South City project is the best residential and commercial project in Kolkata. School and car parking for more than 1400 cars. South City symbolizes the changing perceptions of the way people have traditionally lived in Kolkata.
South City,Deb ,22/09/2013,4,Review of Prince Anwar Shah Road.,?
Rishi Ventoso,Guest User,17/11/2020,5,Nice project.,It is a very nice and well-maintained project. It offers facilities such as a gymnasium and lifts. It also offers services like a community hall. It also offers car parking. the project is a Vaastu compliant.
Rishi Ventoso,Guest User,17/11/2020,5,Nice project.,It is a very nice and well-maintained project. It offers facilities such as a gymnasium and lifts. It also offers services like a community hall. It also offers car parking. the project is a Vaastu compliant.
Rishi Ventoso,Suman,05/02/2013,0,Review Of Madhyam Gram,?
Spring Nest,Guest User,24/08/2020,3,Good Project.,"RBN Spring Nest in Behala, Kolkata South by RBN Projects is a residential project. It is ready to move the project with possession offered in Jul 2016. RBN Spring nest has a total of 2 towers. The construction is on 4 floors. RBN spring nest offers facilities such as the gymnasium and lift. It also ... Read More"
Spring Nest,Guest User,12/07/2020,3,Spring nest,"RBN Spring Nest in Behala, Kolkata South by RBN Projects is a residential project.It is a ready to move project with possession offered in Jul, 2016.RBN Spring Nest has a total of 2 towers. The construction is of 4 floors.RBN Spring Nest offers facilities such as Gymnasium and Lift.It also offers Ca... Read More"
Spring Nest,Guest User,24/08/2020,3,Good Project.,"RBN Spring Nest in Behala, Kolkata South by RBN Projects is a residential project. It is ready to move the project with possession offered in Jul 2016. RBN Spring nest has a total of 2 towers. The construction is on 4 floors. RBN spring nest offers facilities such as the gymnasium and lift. It also ... Read More"
Spring Nest,Guest User,12/07/2020,3,Spring nest,"RBN Spring Nest in Behala, Kolkata South by RBN Projects is a residential project.It is a ready to move project with possession offered in Jul, 2016.RBN Spring Nest has a total of 2 towers. The construction is of 4 floors.RBN Spring Nest offers facilities such as Gymnasium and Lift.It also offers Ca... Read More"
Spring Nest,Udoy Roy,13/05/2019,4,Behala Chowrasta.,?
Prism Apartment,Haradhan ,13/06/2016,4,Kalyani.,?
Devaloke Sonar City,Sunil Kumar ,12/12/2014,4,Garia.,?
Swagat Skyline,Arindam ,27/07/2014,4,Rajarhat.,?
Anjali Green,Guest User,17/10/2020,1,Wrong location mentioned,"This is in Hatiara, not in New Town, The roads to reach this locality is worst."
Anjali Green,Guest User,15/10/2020,2,Nice project.,"No facilities like power back up, lift, water purifier plant has been provided. The water supplied is not at all worthy to use, full of iron and lime. Promoters and staff do not cooperate at all. Moreover, the property lies amidst a slum and the environment is worst."
Anjali Green,Guest User,17/10/2020,1,Wrong location mentioned,"This is in Hatiara, not in New Town, The roads to reach this locality is worst."
Anjali Green,Guest User,15/10/2020,2,Nice project.,"No facilities like power back up, lift, water purifier plant has been provided. The water supplied is not at all worthy to use, full of iron and lime. Promoters and staff do not cooperate at all. Moreover, the property lies amidst a slum and the environment is worst."
Anjali Green,Sunil,23/02/2017,5,New Town.,?
Surya Heights,Sourav Chatterjee,31/12/2018,5,Pleasant location.,?
N B Griha Pravesh,,04/05/2020,4,Andul.,?
Darshan Towers,Moumita,14/02/2014,5,Behala.,?
Radha Kunja,Guest User,24/08/2020,4,Universal Constructed Area,"Radha Kunja situated in Madhyamgram, Kolkata North by Universal Construction Kolkata is a residential project. Basic amenities like lift, car parking power backup, and community hall are available in this project."
Radha Kunja,Guest User,24/08/2020,4,Universal Constructed Area,"Radha Kunja situated in Madhyamgram, Kolkata North by Universal Construction Kolkata is a residential project. Basic amenities like lift, car parking power backup, and community hall are available in this project."
Radha Kunja,Sabyasachi,07/02/2012,0,Review Of Madhyam Gram,?
Shyam Villa V,Purnima,25/06/2013,4,Well connected with all the ammenities in Dumdum.,?
Balaji Marigold,Sudipta,04/12/2014,5,Behala.,?
Jai Hanuman Heights,,02/05/2020,4,Ghusuri.,?
Khushi Residency,Subrata,28/03/2013,0,Review Of Dunlop,?
Sankalpa 2,Guest User,08/12/2020,4,Nice project.,Great place with good amenities and a well residential complex. One of the best classes i have seen for my child. This is an awesome exclusive apartment building.
Sankalpa 2,Guest User,08/12/2020,4,Good project.,"Beautiful property serene atmosphere. Beautiful garden and, good views from the rooms very well known residential high rise. Great place, great ambiance."
Sankalpa 2,Guest User,08/12/2020,4,Nice project.,Great place with good amenities and a well residential complex. One of the best classes i have seen for my child. This is an awesome exclusive apartment building.
Sankalpa 2,Guest User,08/12/2020,4,Good project.,"Beautiful property serene atmosphere. Beautiful garden and, good views from the rooms very well known residential high rise. Great place, great ambiance."
Sankalpa 2,Guest User,20/08/2020,5,Good Project.,"Sankalpa II, is luxurious. Residential Apartment in Kolkata. Sankalpa II offers 3BHK and 4BHK apartments. The amenities in Sankalpa II are comprised of Landscaped Garden, Indoor Games, Swimming Pool, Gymnasium, Play Area, Intercom, Library, Badminton Court, Cafeteria, Basket Ball Court, Multi-purpos... Read More"
Sankalpa 2,Guest User,14/08/2020,0,Well Maintained Project And Good Connectivity. ,"Sankalpa II, is a luxurious. Residential Apartment in Kolkata.Sankalpa II offers 3 BHK and 4 BHK Apartments.The amenities in Sankalpa II comprises of landscaped garden, Indoor Games, Swimming pool, Gymnasium, Play area, Intercom, Library, Badminton court, Cafeteria, Basket ball court, Multip... Read More"
Sankalpa 2,Guest User,12/07/2020,5,Sankalpa 2,"Sankalpa II, is a luxurious. Residential Apartment in Kolkata.Sankalpa II offers 3 BHK and 4 BHK Apartments.The amenities in Sankalpa II comprises of Landscaped Garden, Indoor Games, Swimming Pool, Gymnasium, Play Area, Intercom, Library, Badminton Court, Cafeteria, Basket Ball Court, Multi-purpose ... Read More"
Sankalpa 2,Sanjoy,25/03/2016,5,Rajarhat.,?
Godrej Prakriti,Guest User,22/05/2021,5,Good project.,It is a very nice and clean society. It is a peaceful area with all amenities.
Godrej Prakriti,Guest User,21/05/2021,4,Nice project.,"This is a very beautiful and nice project to live. Groceries shops, daily needs at walking distance. Swimming pool, play ground for kids, table tennis and many more facilities available. Security, water supply, cleaning, and maintenance are proper. It is the best project to live."
Godrej Prakriti,Guest User,22/05/2021,5,Good project.,It is a very nice and clean society. It is a peaceful area with all amenities.
Godrej Prakriti,Guest User,21/05/2021,4,Nice project.,"This is a very beautiful and nice project to live. Groceries shops, daily needs at walking distance. Swimming pool, play ground for kids, table tennis and many more facilities available. Security, water supply, cleaning, and maintenance are proper. It is the best project to live."
Godrej Prakriti,Guest User,19/12/2020,4,Good project,"every time the building was leaked bathroom and kitchen sync is leaked no facilities they committed, arrogant behavior, careless nature, and very delayed to respond."
Godrej Prakriti,Subhayan,10/03/2013,0,Review Of B.T.Road,?
Utsav Utsharga,Rishi ,04/12/2020,0," Surveypark ,Santoshpur is Well known and established place near EM. Bypass.",?
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,05/10/2020,2,Nice project.,COVID 19 may have spared you but there is no guarantee that DENGUE will not break out in this complex. Water bodies that they showcased at the time of purchase is now a breeding ground for mosquitoes and the water stinks. Some say it is infested with snakes and scorpions. Maintenance charges are hig... Read More
Eden City Maheshtala,Guest User,21/08/2020,4,Eden City Maheshtala,Eden City is one of the largest contemporary world class housing projects in Kolkata. This is the first of its kind as the same was conceived on the primary vision and philosophy of giving all modern lifestyle amenities and facilities at a much lesser cost.
Eden City Maheshtala,Kanak ,08/09/2013,4,Good locality. ,?
Vishnu Vatika,Guest User,10/12/2020,5,Good Project.,"It is one of the finest residential complexes. It is a luxurious and beautifully constructed residential project with many amenities like a clubhouse, jogging track, power backup, swimming pool and more."
Vishnu Vatika,Guest User,10/12/2020,5,Good Project.,"It is one of the finest residential complexes. It is a luxurious and beautifully constructed residential project with many amenities like a clubhouse, jogging track, power backup, swimming pool and more."
Vishnu Vatika,Anindya,03/09/2012,0,Review Of G T Road,?
Rajwada Emeralds,Dipankar,11/06/2014,5,Narendra Pur.,?
South City Garden,Bhushan,06/09/2013,4,New Alipore.,?
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,24/05/2021,4,Beautiful project.,"Project situated near Batanagar on the budge trunk road. The campus of the project is quiet and beautiful. Maintenance service is also good. Amenities are well equipped. Flats are well maintained, airy and spacious."
Eden City Maheshtala,Guest User,21/05/2021,5,"Good project.
",It is a very nice and clean society. It is a peaceful area with all amenities.
Eden City Maheshtala,Guest User,05/10/2020,2,Nice project.,COVID 19 may have spared you but there is no guarantee that DENGUE will not break out in this complex. Water bodies that they showcased at the time of purchase is now a breeding ground for mosquitoes and the water stinks. Some say it is infested with snakes and scorpions. Maintenance charges are hig... Read More
Eden City Maheshtala,Guest User,21/08/2020,4,Eden City Maheshtala,Eden City is one of the largest contemporary world class housing projects in Kolkata. This is the first of its kind as the same was conceived on the primary vision and philosophy of giving all modern lifestyle amenities and facilities at a much lesser cost.
Eden City Maheshtala,Kanak ,08/09/2013,4,Good locality. ,?
Shapoorji Paloonji Sukhobristi,Sanjay,18/07/2018,5,New Town.,?
Siddha Waterfront,Guest User,12/07/2020,4,Siddha Waterfront_Khardah,"Siddharth waterfront is a luxurious and specious project . Which offers all modern amenities and facilities . This project located in khardah , developed by Siddha Group . This project is ideal for peace lovers ."
Siddha Waterfront,Guest User,12/07/2020,4,Siddha Waterfront_Khardah,"Siddharth waterfront is a luxurious and specious project . Which offers all modern amenities and facilities . This project located in khardah , developed by Siddha Group . This project is ideal for peace lovers ."
Siddha Waterfront,Adiya,05/12/2012,0,Review Of Khardah,?
Merlin 5th Avenue,Rimo,03/08/2014,4,Sector-V.,?
Cosmic Arcadia,Ajay,24/04/2014,4,Tolly Gunj.,?
Hiland Greens,GHOSH,03/06/2014,3,Maheshtala.,?
Lake View,Saha,06/03/2014,5,Santoshpur.,?
Dream Residency,Guest User,20/08/2020,4,Good Project.,"Dream Residency is located in Rajarhat by Jain Group. It is a residential development project.The apartment configuration are 2BHK, 3BHK and 4BHK. It has amenities like swimming pool, earthquake resistant, indoor game, jogging track, CCTV camera, security, community Hall, badminton court, gated ... Read More"
Dream Residency,Guest User,20/08/2020,4,Good Project.,"Dream Residency, located in Rajarhat by Jain group. It is a residential development project. The apartment configuration is 2BHK, 3BHK, and 4BHK are available. It has amenities like swimming pool, earthquake resistant, indoor game, jogging track, CCTV camera, security, community hall, badminton cour... Read More"
Dream Residency,Guest User,20/08/2020,4,Good Project.,"Dream Residency is located in Rajarhat by Jain Group. It is a residential development project.The apartment configuration are 2BHK, 3BHK and 4BHK. It has amenities like swimming pool, earthquake resistant, indoor game, jogging track, CCTV camera, security, community Hall, badminton court, gated ... Read More"
Dream Residency,Guest User,20/08/2020,4,Good Project.,"Dream Residency, located in Rajarhat by Jain group. It is a residential development project. The apartment configuration is 2BHK, 3BHK, and 4BHK are available. It has amenities like swimming pool, earthquake resistant, indoor game, jogging track, CCTV camera, security, community hall, badminton cour... Read More"
Dream Residency,Aloke ,15/10/2019,4,Rajarhat.,?
Orchard County,Guest User,22/08/2020,4,Orchard County.,"Orchard County is a Residential complex located in BT Road, Developed by Oswal Group. This complex has a 60 percent open space. This complex has 3 towers with 13 floors of each tower. It has offered all modern facilities and amenities."
Orchard County,Guest User,22/08/2020,4,Orchard County.,"Orchard County is a Residential complex located in BT Road, Developed by Oswal Group. This complex has a 60 percent open space. This complex has 3 towers with 13 floors of each tower. It has offered all modern facilities and amenities."
Orchard County,Rajiv,02/12/2013,4,Nice locality.,?
Siddha Galaxia Phase 2,Guest User,21/08/2020,5,Good Project.,"Siddha Galaxia Phase II build by a famous builder Siddha Group in Rajarhat. The project gives 2 BHK, 2.5 BHK, 3 BHK, and 4 BHK luxurious Apartments in Kolkata.  The facilities in Siddha Galaxia Phase II is Landscape Garden, Indoor Games, CCTV Cameras, Swimming Pool, Gymnasium, Play Area, Intercom, R... Read More"
Siddha Galaxia Phase 2,Guest User,21/08/2020,5,Good Project.,"Siddha Galaxia Phase II build by a famous builder Siddha Group in Rajarhat. The project gives 2 BHK, 2.5 BHK, 3 BHK, and 4 BHK luxurious Apartments in Kolkata.  The facilities in Siddha Galaxia Phase II is Landscape Garden, Indoor Games, CCTV Cameras, Swimming Pool, Gymnasium, Play Area, Intercom, R... Read More"
Siddha Galaxia Phase 2,Shek,06/12/2014,1,Rajarhat.,?
Rare Earth,Basudeo,27/04/2014,5,Narkel Danga.,?
Siddha Town,Vijay,26/08/2020,5,Siddha Town_Rajarhat,"Siddha Town is a premium residential project at Rajarhat in Kolkata. The project is developed by the Siddha Group. Social facilities like banks, hospitals, markets, schools, and parks surround the area. It is also very well-connected to various parts of Kolkata by public transport and very close to ... Read More"
Siddha Town,Guest User,21/08/2020,5,Siddha Town.,"Siddha Town is a premium residential project at Rajarhat in Kolkata. The project is developed by the Siddha Group. Social facilities like banks, hospitals, markets, schools and parks surround the area. It is also very well connected to various parts of Kolkata by public transport and very close to K... Read More"
Siddha Town,Vijay,26/08/2020,5,Siddha Town_Rajarhat,"Siddha Town is a premium residential project at Rajarhat in Kolkata. The project is developed by the Siddha Group. Social facilities like banks, hospitals, markets, schools, and parks surround the area. It is also very well-connected to various parts of Kolkata by public transport and very close to ... Read More"
Siddha Town,Guest User,21/08/2020,5,Siddha Town.,"Siddha Town is a premium residential project at Rajarhat in Kolkata. The project is developed by the Siddha Group. Social facilities like banks, hospitals, markets, schools and parks surround the area. It is also very well connected to various parts of Kolkata by public transport and very close to K... Read More"
Siddha Town,Avishek,01/02/2015,4,Rajarhat.,?
Greenwood Nest,Paritosh ,10/10/2016,5,New Town.,?
